account_number,meter_id,billing_period_start,billing_period_end,consumption_value,consumption_unit,tariff_code,facility_name
ACC001,MTR-1001,2024-01-14,2024-02-13,4500,kWh,COM-A1,Mumbai Office
ACC001,MTR-1002,2024-01-14,2024-02-13,12,MWh,IND-B2,Mumbai Warehouse
ACC002,MTR-2001,2024-01-01,2024-01-31,3200,kWh,COM-A1,Delhi Office
ACC002,MTR-2002,2024-01-01,2024-01-31,8.5,MWh,IND-B2,Delhi Factory
ACC001,MTR-1001,2024-02-14,2024-03-13,4800,kWh,COM-A1,Mumbai Office
ACC001,MTR-1002,2024-02-14,2024-03-13,15,MWh,IND-B2,Mumbai Warehouse
ACC003,MTR-3001,2024-01-14,2024-02-13,,kWh,COM-A1,Pune Office
ACC002,MTR-2001,2024-02-01,2024-02-29,3400,kWh,COM-A1,Delhi Office
ACC004,MTR-4001,2024-01-14,2024-02-13,95000,kWh,IND-C3,Bangalore Data Center
ACC002,MTR-2002,2024-02-01,2024-02-29,9.2,MWh,IND-B2,Delhi Factory
ACC003,MTR-3001,2024-02-14,2024-03-13,2900,kWh,COM-A1,Pune Office
ACC004,MTR-4001,2024-02-14,2024-03-13,88000,kWh,IND-C3,Bangalore Data Center
